word;sentiment
Abba;positivo
capacidad;positivo
NO TRANSLATION;positivo
absoluto;positivo
absolucion;positivo
absorbido;positivo
abundancia;positivo
abundante;positivo
academico;positivo
academia;positivo
aceptable;positivo
aceptacion;positivo
accesible;positivo
espaldarazo;positivo
alojamiento;positivo
acompañamiento;positivo
acompañar;positivo
acompañamiento;positivo
realizar;positivo
consumado;positivo
logro;positivo
acuerdo;positivo
responsabilidad;positivo
explicable;positivo
autorizado;positivo
NO TRANSLATION;positivo
preciso;positivo
as;positivo
lograr;positivo
logro;positivo
reconocimiento;positivo
adquirir;positivo
adquisidor;positivo
acrobata;positivo
accion;positivo
real;positivo
agudeza;positivo
perspicacia;positivo
adaptar;positivo
adaptable;positivo
direcciones;positivo
adepto;positivo
NO TRANSLATION;positivo
adjunto;positivo
admirable;positivo
almirante;positivo
admiracion;positivo
admirar;positivo
admirador;positivo
admisible;positivo
adorable;positivo
adoracion;positivo
adorar;positivo
avanzar;positivo
avanzado;positivo
adelanto;positivo
ventaja;positivo
ventajoso;positivo
adviento;positivo
aventuras;positivo
aventurero;positivo
aconsejable;positivo
asesorar;positivo
asesor;positivo
Abogacia;positivo
estetico;positivo
estetica;positivo
afable;positivo
afecto;positivo
asociado;positivo
afirmar;positivo
afirmacion;positivo
afirmativo;positivo
afirmativamente;positivo
afluencia;positivo
afluente;positivo
permitirse;positivo
NO TRANSLATION;positivo
agil;positivo
agilidad;positivo
de acuerdo;positivo
agradable;positivo
convenido;positivo
aceptando;positivo
acuerdo;positivo
agricultura;positivo
adelante;positivo
ayuda;positivo
ayudando;positivo
alabastro;positivo
vigilancia;positivo
NO TRANSLATION;positivo
viva;positivo
aliviar;positivo
lealtad;positivo
alegro;positivo
aliviar;positivo
alivio;positivo
aliado;positivo
admisible;positivo
seducir;positivo
seductor;positivo
aliado;positivo
todopoderoso;positivo
aloha;positivo
espantosamente;positivo
embajador;positivo
ambicion;positivo
mejorar;positivo
Amen;positivo
docil;positivo
enmendar;positivo
compensacion;positivo
amenidad;positivo
amable;positivo
amistoso;positivo
amnistia;positivo
NO TRANSLATION;positivo
entretener;positivo
divertido;positivo
diversion;positivo
divertido;positivo
analista;positivo
ancla;positivo
anclaje;positivo
angel;positivo
angelical;positivo
animar;positivo
animado;positivo
antibioticos;positivo
antidoto;positivo
antimicotico;positivo
antiguo;positivo
antiseptico;positivo
aplomo;positivo
apologetico;positivo
pedir disculpas;positivo
disculpa;positivo
apostol;positivo
aplausos;positivo
apreciacion;positivo
aprendizaje;positivo
aprobacion;positivo
aprobacion;positivo
aprobar;positivo
aprobatorio;positivo
apto;positivo
aptitud;positivo
arqueologia;positivo
ardiente;positivo
ardor;positivo
aristocracia;positivo
aristocratico;positivo
armado;positivo
armadura;positivo
aroma;positivo
despertar;positivo
formacion;positivo
art;positivo
articular;positivo
articulacion;positivo
artesano;positivo
NO TRANSLATION;positivo
artistico;positivo
ascendencia;positivo
ascenso;positivo
aspiracion;positivo
aspirar;positivo
ambicioso;positivo
montaje;positivo
asentir;positivo
afirmando;positivo
bienes;positivo
ayudar;positivo
asistencia;positivo
asociar;positivo
calmar;positivo
garantia;positivo
seguro;positivo
NO TRANSLATION;positivo
astrologo;positivo
astronauta;positivo
astronomo;positivo
astuto;positivo
atleta;positivo
atletico;positivo
atomo;positivo
expiar;positivo
expiacion;positivo
adjunto archivo;positivo
alcanzable;positivo
logro;positivo
asistente;positivo
atencion;positivo
atento;positivo
dar fe;positivo
abogado;positivo
atraccion;positivo
atractivo;positivo
aumentar;positivo
agosto;positivo
tia;positivo
aura;positivo
propicio;positivo
autentico;positivo
autenticidad;positivo
autor;positivo
