Usuario;Caption;Likes;Imagen;Fecha
enahernandezh;Cada amanecer significa: “AMA NACER”Ama esta nueva oportunidad!Ama despertar!Ama iniciar este dia!Ama volver a Nacer!Cada día tenemos la elección de volver a empezar y tenemos la oportunidad de intentarlo una y otra vez, tenemos la opción de mejorar.....Feliz juernes! Hoy empieza oficialmente el carnaval de Barranquilla, hoy es la coronación de la reina del carnaval, de la soberana de las fiestas más importantes de la Costa Atlántica wepaaaa pero nosotras estaremos por aquí enfocados 🤣🤣🤣..@orbeabicycles @orbeacolombia @weareorbea ..#ciclismo #ciclismofemenino #ciclismoderuta #ciclismoepico  #ride #roadcycling #cyclingpics # #bikes #road  #cycling #bike #cyclinglife #bikelife #cyclingphotos  #bicycle #cyclist #cyclingculture #asmeninasnabike #cyclingqueens #amoralpedal #pasionporlabici #thisiswhywerace @dsrbydelhivelo @womenlovebikes @women_on_bikes @womenonbikes #amanecer;3,028 likes;https://scontent-bog1-1.cdninstagram.com/v/t51.2885-15/e35/p1080x1080/87536184_2358083321156113_6760179276464441252_n.jpg?_nc_ht=scontent-bog1-1.cdninstagram.com&_nc_cat=101&_nc_ohc=z3cwAY4qsGMAX-pAwiA&oh=e85d5abed4b0e036d900b2a38986b0f5&oe=5E95A18C;February 20
enahernandezh;Si buenas! Esta es la cara de una persona que ha hecho su tarea, hizo deporte y compartió con amigos, por aquí disfrutando el proceso, por que eso siempre será más importante que el fin!..Me desconecto por hoy, Buenas noches!!!..@orbeabicycles @orbeacolombia @weareorbea .@bioracerspeedwear @bioracerlatinoamerica #bioracer #bioracerfamily #wemakeyoufaster.#ciclismo #ciclismofemenino #ciclismoderuta #ciclismoepico  #ride #roadcycling #cyclingpics # #bikes #road  #cycling #bike #cyclinglife #bikelife #cyclingphotos  #bicycle #cyclist #cyclingculture #asmeninasnabike #cyclingqueens #amoralpedal #pasionporlabici #thisiswhywerace @dsrbydelhivelo @womenlovebikes @women_on_bikes @womenonbikes;1,401 likes;;February 19
enahernandezh;CONFIA que todo lo que ocurre en la vida tiene un propósito de ser.  A veces olvidamos la perfección del universo.  Mantén la calma y confía...Entreno con @thresholdexperts Simulador Wahoo KICKR 4.0 @cycleshopcol ..@bioracerspeedwear @bioracerlatinoamerica #bioracerfamily #bioracerspeedwear #wemakeyoufaster .Mi #bombom es una #orbeaorcaaero @orbeabicycles @orbeacolombia;2,076 likes;https://scontent-bog1-1.cdninstagram.com/v/t51.2885-15/e35/p1080x1080/84654122_1597875487026370_682103702308086757_n.jpg?_nc_ht=scontent-bog1-1.cdninstagram.com&_nc_cat=110&_nc_ohc=kPXRJ4nZrpEAX89Uh_a&oh=3f8d08d6b7a4b478b51bc59e1ecad258&oe=5E93F38F;February 18
enahernandezh;Buenas noches!!! Pasaba por aquí a saludarlos y enviarles mis mejores deseos para que esta semana sea de éxitos y bendiciones, que sea muy productiva y con la mejor energía 🙌🏽 les cuento que hoy nos fuimos de descanso total de actividad física y no fuimos de descarga muscular... El masaje debería ser parte de tu rutina de entrenamiento, por que limpian el cuerpo de toxinas, aflojan los puntos anudados, aceleran la recuperación y ayudan a prevenir lesiones. Hoy también aprovechamos para hacer la terapia de la rodilla así qie estamos haciendo todo lo posible para estar en las mejores condiciones..Mañana iniciamos con los trabajitos 💪🏽🙌🏽 descansemos!!!Buenas noches ! 😴 💤 .@orbeabicycles @orbeacolombia @weareorbea .@bioracerspeedwear @bioracerlatinoamerica #bioracer #bioracerfamily #wemakeyoufaster.#ciclismo #ciclismofemenino #ciclismoderuta #ciclismoepico  #ride #roadcycling #cyclingpics # #bikes #road  #cycling #bike #cyclinglife #bikelife #cyclingphotos  #bicycle #cyclist #cyclingculture #asmeninasnabike #cyclingqueens #amoralpedal #pasionporlabici #thisiswhywerace @dsrbydelhivelo @womenlovebikes @women_on_bikes @womenonbikes;1,108 likes;https://scontent-bog1-1.cdninstagram.com/v/t51.2885-15/e35/s1080x1080/84550546_2532713936943362_3957712767733230380_n.jpg?_nc_ht=scontent-bog1-1.cdninstagram.com&_nc_cat=102&_nc_ohc=im--mRjLzxQAX_LmLZB&oh=c8355b1ff087ecd85c051af59e768348&oe=5E93C7CE;February 17
enahernandezh;Domingo de fondito! Siempre, siempre será más fácil hacer los trabajos en grupo!!! Correría por el  Atlántico, desde la Porto Azul, Prosperidad, Sabanagrande, Santo Tomas, Palmar de Varela, Campeche (ciruela incluida) Baranoa (sin chicharron) Galapa, Prosperidad, Porto Azul para un total de 4 horas 31 minutos y 118 K con el combo @cycling0x3 la pasamos súper!! Gracias chicos por multiplicar su rodada de hoy y aceptar el reto 🤣🤣🤪..El combustible para hacer la tarea a cargo de @qunno delicioso y funcional!! .PD: no se imaginan como se veía de bella la ruta con los robles rosa y ese increíbles aroma a ciruelas 😍.@bioracerspeedwear @bioracerlatinoamerica #bioracer #bioracerfamily #wemakeyoufaster ..@orbeabicycles @orbeacolombia #orbeaorcaaero .#ciclismo #ciclismofemenino #ciclismoderuta #ciclismoepico  #ride #roadcycling #cyclingpics # #bikes #road  #cycling #bike #cyclinglife #bikelife #cyclingphotos  #bicycle #cyclist #cyclingculture #asmeninasnabike #cyclingqueens #amoralpedal #pasionporlabici #thisiswhywerace @dsrbydelhivelo @womenlovebikes @women_on_bikes @womenonbikes;941 likes;;February 16
enahernandezh;Trato de combinar la vida, disfrutando los eventos familiares, sociales, culturales,  con mi compromiso personal del ciclismo, todo es un balance... anoche fuimos a ver el desfile de la Guacherna y hoy firmes con esas 3 horas y media que nos tocaban💪🏽gracias amiguitos por acompañarme a ejecutar la tarea 🥰 @prato2013 @sotogloria @theblackcoach @jorgediaz7030 ..Estamos en preparación para el primer reto del año el @gfcerrodelacruz de Panamá que se realizará el 1 de marzo así que trataremos de hacer el mejor papel posible 🤪..@bioracerlatinoamerica @bioracerspeedwear #bioracerfamily #bioracer #wemakeyoufaster .@orbeabicycles @orbeacolombia #orbeaorcaaero ..Gracias @killabikecafe @cycleshopcol @megabikescol por el apoyo!;1,469 likes;https://scontent-bog1-1.cdninstagram.com/v/t51.2885-15/e35/p1080x1080/84682386_194575794981154_7223648983241012487_n.jpg?_nc_ht=scontent-bog1-1.cdninstagram.com&_nc_cat=110&_nc_ohc=IWNbXKY3bSwAX9tkf1A&oh=645c5db62709bd66c6e0001364b8ca90&oe=5E972076;February 15
enahernandezh;Ustedes perdonen lo descompuesta, pero literal quedé destruída, y ajá quería mostrarme asi después del esfuerzo real, eso es lo que hay! Muchas ganas y esfuerzo... y esa era la primera sesión de entreno del dia! 🥴 no estoy acostumbrada a despojarme de mi prendas de ciclismo peroooo hoy literal me derretí que cosa más dura, les cuento que ese aparatico es una maravilla, el simulador #wahookickr me permite realizar los trabajos de forma eficiente, sin perder tiempo, nunca dejamos de pedalear y se controlan todas las variables, podemos hacer trabajos por potencia ya que estos ciclosimuladores tiene potenciometro incluido y lo mejor es que lo puedes conectar a las aplicaciones de entrenamiento para ejecutar tus planes, no quiere decir que no me haga falta la salida en combo con los amigos, el amanecer, los paisajes, el tintico y hasta los pajaritos pero bueno es una excelente herramienta a la hora de optimizar el tiempo hacer trabajos específicos, sin contar que es una buena opción en tiempo de lluvia y de fuertes vientos...Seguimos adaptándonos a esta nueva forma de entrenar y todo sea por encontrar mi mejor versión, asi que se hizo la tarea profes @thresholdexperts @pablojaramillo99 incluyendo el trabajito de piernas en el gym..Estos simuladores los consigues en @cycleshopcol gracias!!!! 🥰..@bioracerlatinoamerica @bioracerspeedwear #bioracerfamily #wemakeyoufaster .#orbeaorcaaero #ciclismo #ciclismofemenino #ciclismoderuta #ciclismoepico  #ride #roadcycling #cyclingpics # #bikes #road  #cycling #bike #cyclinglife #bikelife #cyclingphotos  #bicycle #cyclist #cyclingculture #asmeninasnabike #cyclingqueens #amoralpedal #pasionporlabici #thisiswhywerace @dsrbydelhivelo @womenlovebikes @women_on_bikes;3,535 likes;;February 13
enahernandezh;Buenas noches x 3!!! Genteee pues yo preparando juiciosa los retos de este año, si me preguntas todos son importantes pero mi favorito mi reto Italia, en donde subiremos los puertos míticos del giro de Italia y correremos Dios mediante la @maratonadolomites estoy muy ansiosa por que además de compartir con un grupo espectacular y disfrutar de la organización de nuestro operador logístico oficial @high_cadence_cycling tendremos la oportunidad de enamorarnos una vez más de esos paisajes y lo mejor ver a mi familia que está en España @dioselinhernandez 🥰 ese será el gran premio...@high_cadence_cycling nuestro tour operador de las @maratonadolomites ..A ti que te tiene motivado para dar lo mejor cada dia?..;1,506 likes;;February 12
enahernandezh;Si usted no se ha hecho un test... usted no le ha dado una probadita a ese agridulce sabor a sufrimiento, fin del comunicado!Buenas noche!..Gracias @paulo_perez82 por el apoyo, @thresholdexperts ahí se hizo la tarea! ..@bioracerlatinoamerica @bioracerspeedwear #bioracerfamily #bioracer #wemakeyoufaster .@orbeabicycles @orbeacolombia;1,310 likes;;February 11
enahernandezh;DIA DE DESCANSO!El entrenamiento, el descanso y la buena alimentación son los tres pilares fundamentales sobre los que se construye la forma física de un ciclista. El entrenamiento y la buena alimentación son importantísimos pero el descanso es en muchas ocasiones el que la mayoría de ciclistas aficionados olvidan. El descanso es fundamental para poder incrementar la forma física, para hacer la recuperación y no caer en el sobreentrenamiento provocado por un exceso de fatiga física.Descanso siempre debe ir de la mano con el ciclismo, de hecho debe hacer parte del plan de entrenamiento para que el cuerpo esté en condiciones de asimilar correctamente las cargas de entrenamiento. Sin descanso olvídate de crecimiento y de mejorar tu estado físico de manera sostenible en el tiempo.Y tú descansas totalmente o haces descanso activo?...#pictureoftheday #picoftheday #girlpower #powergirl #instapic @beautiful_sporty_girls @dsrbydelhivelo @women_on_bikes;1,286 likes;;February 10
